Chamber_Pressure_bar,O/F,T_chamber_K,T_exit_Frozen_K,T_exit_Shift_K,M_exit_Frozen,M_exit_Shift,Velocity_exit_Frozen_m_s,Velocity_exit_Shift_m_s,Isp_Frozen_s,Isp_Equilibrium_s,X_H2O,X_H2,X_OH,X_O2,X_H
50,4.6,3304.014614904963,1598.6468755120852,1819.763680111265,10.981502124932307,11.287908028790334,3742.1396743771807,3845.7209928399957,381.59204971903563,392.1544046988519,0.5795232819917068,0.42017699915153406,2.6046194914067557e-05,7.946864530662869e-09,0.0002736516124102474
50,4.7,3329.3448846441765,1616.7067080344295,1856.765270710728,11.15218651527728,11.488886468099322,3730.2469034453243,3839.026998501529,380.379324585391,391.4718072432002,0.5920782154886179,0.40751916676949784,3.9502666748044656e-05,1.708449637740148e-08,0.0003630711280003969
50,4.8,3353.375018000842,1633.9322006635348,1893.585621063455,11.321139772055492,11.689675487927618,3718.146585529924,3832.027525438302,379.14543554933886,390.7580596267127,0.6046171262673636,0.39484852915384666,5.892812713023767e-05,3.572613162418285e-08,0.0004753271889880863
50,4.9,3376.1392035212866,1650.3378438160607,1930.1991922539514,11.488342771438342,11.890229259376357,3705.86016564762,3824.7315285341133,377.8925693939949,390.01407499340894,0.6171352994489621,0.38216358180783955,8.653746122373806e-05,7.278189537933752e-08,0.0006144046285720115
50,5.0,3397.670758297174,1665.9383033540867,1966.576207649428,11.653776948506485,12.090493945923603,3693.4073948536193,3817.1471107409775,376.62274016648087,389.240679614443,0.6296268997358591,0.3694630478828473,0.000125199843286918,1.4465290667895066e-07,0.0007845114319797622
50,5.1,3418.0023116067496,1680.7484891066545,2002.6823793710025,11.817424401015977,12.290406976366306,3680.806547147556,3809.2815988738685,375.33781129616705,388.4386206170169,0.6420847767889463,0.3567460395007778,0.00017857454285409078,2.8083637166446763e-07,0.0009899657109349624
50,5.2,3437.165991561036,1694.783614869412,2038.4786805485085,11.979268042392299,12.489896371772764,3668.074634584622,3801.1416140483484,374.03951752990287,387.6085731670192,0.654500253144609,0.34401225565923993,0.0002512568125047595,5.332203765058365e-07,0.001235047224809669
50,5.3,3455.1936048502034,1708.0592717457987,2073.9211630081804,12.139291792107564,12.6888801368267,3655.2275896305227,3792.733137327624,372.72948352704776,386.75114716316216,0.6668628954302697,0.3312622192938567,0.00034892851102492277,9.911657087603767e-07,0.0015238123376992566
50,5.4,3472.1168014205077,1720.5914974879756,2108.9608108567136,12.297480791496863,12.887265712450898,3642.2804242637408,3784.061571354249,371.40924008338635,385.8668935216663,0.6791602690518417,0.3184975557645071,0.00047850575131290094,1.8054677507813934e-06,0.0018598733134678538
50,5.5,3487.967217683988,1732.3968376350736,2143.5434086676787,12.453821633198881,13.084949466431762,3629.2473644807087,3775.131799097535,370.0802378468395,384.95631016682916,0.6913776752455202,0.3057213150845197,0.0006482731123228735,3.2256536574717802e-06,0.0022461452448523005
